t,label,cpu_pct_sum,rss_mb_sum,n_procs,idle_timeout_s
1788963154.2023857,serverless_reactive:cyclical:0,198.1,135.02,4,8.0
1788963154.4046545,serverless_reactive:cyclical:0,187.8,153.68,4,8.0
1788963155.3660727,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963155.5678315,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963155.7698774,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963155.9718714,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963156.1735148,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963156.3758388,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963156.577638,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963156.7792976,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963156.9812279,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963157.182911,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963157.3852415,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963157.5877974,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963157.7905633,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963157.9923043,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963158.1940553,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963158.3963315,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963158.5980964,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963158.7998836,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963159.0016918,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963159.2033124,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963159.4049313,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963159.606713,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963159.8084328,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963160.0101151,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963160.211857,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963160.4137104,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963160.61544,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963160.8172858,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963161.018914,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963161.2205842,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
