t,label,cpu_pct_sum,rss_mb_sum,n_procs,sweep_pct,fixed_predicted_gap_s
1788965289.5602927,serverless_predictive_fixed:cyclical:0,109.0,117.08,3,-50,4.5
1788965289.762238,serverless_predictive_fixed:cyclical:0,59.4,80.08,2,-50,4.5
1788965289.9640753,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965290.1661003,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965290.368057,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965290.5700915,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965290.7718122,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965290.973808,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965291.1762755,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965291.378253,serverless_predictive_fixed:cyclical:0,0.0,80.08,2,-50,4.5
1788965291.5801678,serverless_predictive_fixed:cyclical:0,5.0,94.71,4,-50,4.5
1788965291.782533,serverless_predictive_fixed:cyclical:0,197.6,146.61,4,-50,4.5
1788965291.9844027,serverless_predictive_fixed:cyclical:0,188.2,164.21,4,-50,4.5
1788965292.1865103,serverless_predictive_fixed:cyclical:0,14.7,165.07,4,-50,4.5
1788965292.3885815,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965292.5905766,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965292.7925713,serverless_predictive_fixed:cyclical:0,5.0,165.07,4,-50,4.5
1788965292.9945488,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965293.1964521,serverless_predictive_fixed:cyclical:0,5.0,165.07,4,-50,4.5
1788965293.3985007,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965293.6005008,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965293.802447,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965294.0043824,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965294.2063367,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965294.4082642,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965294.6102955,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965294.8122306,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965295.0142457,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965295.2162542,serverless_predictive_fixed:cyclical:0,10.0,165.07,4,-50,4.5
1788965295.4183037,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965295.620346,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965295.8224738,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965296.024951,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965296.2276475,serverless_predictive_fixed:cyclical:0,4.9,165.07,4,-50,4.5
1788965296.429616,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965296.6316226,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965296.8339255,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965297.0359032,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965297.2379603,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965297.4399548,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965297.6425195,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965297.8444061,serverless_predictive_fixed:cyclical:0,0.0,165.07,4,-50,4.5
1788965298.0466704,serverless_predictive_fixed:cyclical:0,0.0,122.36,4,-50,4.5
1788965298.2486155,serverless_predictive_fixed:cyclical:0,5.0,122.36,3,-50,4.5
1788965298.4506495,serverless_predictive_fixed:cyclical:0,0.0,148.23,4,-50,4.5
1788965298.6524599,serverless_predictive_fixed:cyclical:0,99.1,118.1,3,-50,4.5
1788965298.854493,serverless_predictive_fixed:cyclical:0,39.5,80.09,2,-50,4.5
1788965299.056247,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965299.258265,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
