t,label,cpu_pct_sum,rss_mb_sum,n_procs,run_label
1788969845.6007318,container:bimodal:1,0.0,164.31,4,container
1788969845.8026693,container:bimodal:1,0.0,164.31,4,container
1788969846.0045562,container:bimodal:1,0.0,164.31,4,container
1788969846.2065923,container:bimodal:1,0.0,164.31,4,container
1788969846.4084785,container:bimodal:1,0.0,164.31,4,container
1788969846.6105056,container:bimodal:1,5.0,164.31,4,container
1788969846.8124595,container:bimodal:1,10.0,164.31,4,container
1788969847.0144079,container:bimodal:1,0.0,164.31,4,container
1788969847.2162142,container:bimodal:1,0.0,164.31,4,container
1788969847.41823,container:bimodal:1,0.0,164.31,4,container
1788969847.621319,container:bimodal:1,0.0,164.31,4,container
1788969847.8240423,container:bimodal:1,0.0,164.31,4,container
1788969848.026884,container:bimodal:1,0.0,164.31,4,container
1788969848.2288125,container:bimodal:1,0.0,164.31,4,container
1788969848.4315498,container:bimodal:1,0.0,164.31,4,container
1788969848.633473,container:bimodal:1,0.0,164.31,4,container
1788969848.8353488,container:bimodal:1,0.0,164.31,4,container
1788969849.0378327,container:bimodal:1,0.0,164.31,4,container
1788969849.2397904,container:bimodal:1,0.0,164.31,4,container
1788969849.441679,container:bimodal:1,0.0,164.31,4,container
1788969849.6435084,container:bimodal:1,0.0,164.31,4,container
1788969849.8454385,container:bimodal:1,0.0,164.31,4,container
1788969850.0472848,container:bimodal:1,0.0,164.31,4,container
1788969850.2490807,container:bimodal:1,0.0,164.31,4,container
1788969850.4509504,container:bimodal:1,0.0,164.31,4,container
1788969850.6528018,container:bimodal:1,0.0,164.31,4,container
1788969850.8546834,container:bimodal:1,0.0,164.31,4,container
1788969851.0565073,container:bimodal:1,0.0,164.31,4,container
1788969851.2592268,container:bimodal:1,9.8,164.31,4,container
1788969851.46109,container:bimodal:1,0.0,164.31,4,container
1788969851.6630669,container:bimodal:1,5.0,164.31,4,container
1788969851.8653526,container:bimodal:1,0.0,164.31,4,container
1788969852.0673254,container:bimodal:1,0.0,164.31,4,container
1788969852.2692833,container:bimodal:1,0.0,164.31,4,container
1788969852.4712043,container:bimodal:1,0.0,164.31,4,container
1788969852.6728296,container:bimodal:1,0.0,164.31,4,container
1788969852.87479,container:bimodal:1,0.0,164.31,4,container
1788969853.0766573,container:bimodal:1,0.0,164.31,4,container
1788969853.2785335,container:bimodal:1,0.0,164.31,4,container
1788969853.480497,container:bimodal:1,0.0,164.31,4,container
1788969853.6826673,container:bimodal:1,0.0,164.31,4,container
