scenario,policy,trial,n_requests,n_cold,median_latency_ms,p95_latency_ms,mean_queue_ms,mean_cold_ms
cyclical,serverless_predictive_ewma,3,75,12,679.0572739998879,761.5299120000145,467.26805333333334,103.62970666666666
cyclical,serverless_predictive_ewma,4,75,12,440.50203300002977,691.8921049999653,301.6627866666667,90.57590666666667
cyclical,serverless_predictive_ewma,5,75,13,674.0544669999053,749.1640978999612,452.85868,110.86874666666665
cyclical,serverless_predictive_ewma,6,75,15,673.2919449998462,802.4721814000259,539.20012,132.11137333333332
cyclical,serverless_predictive_ewma,7,75,13,610.1939139998649,758.4804027999553,357.01468,102.30206666666666
cyclical,serverless_predictive_ewma,8,75,12,204.2477529998905,682.3439654998765,240.28273333333337,86.22373333333334
cyclical,serverless_predictive_ewma,9,75,12,200.63946799996305,732.9815500999302,260.1838133333333,89.02072
cyclical,serverless_predictive_ewma,10,75,13,611.2189420000504,773.5659176000354,358.71418666666665,104.71729333333334
cyclical,serverless_predictive_ewma,11,75,12,199.02945399985583,725.0972639998736,255.015,88.89481333333335
cyclical,serverless_predictive_ewma,12,75,14,675.3639979999662,742.053512699863,437.89243999999997,118.90696000000001
cyclical,serverless_predictive_ewma,13,75,12,205.2147740000692,747.2832997998466,270.64268,88.85723999999999
cyclical,serverless_predictive_ewma,14,75,12,579.3141620001734,742.5905724999438,338.31839999999994,93.93805333333333
cyclical,serverless_predictive_lastgap,0,75,12,337.34093599991866,712.9656426999418,277.4143333333332,90.51810666666667
cyclical,serverless_predictive_lastgap,1,75,13,591.3805070001672,742.2320404998572,338.6473066666667,101.39287999999999
cyclical,serverless_predictive_lastgap,2,75,12,203.11798700004147,698.6452205999967,251.67134666666664,85.65330666666667
cyclical,serverless_predictive_lastgap,3,75,12,558.7544489999345,795.7345645002988,361.62324,99.05518666666667
cyclical,serverless_predictive_lastgap,4,75,13,607.2830480002267,781.1197278998407,357.6960933333333,106.37802666666667
cyclical,serverless_predictive_lastgap,5,75,13,666.8564890001107,737.5826400000733,443.9238533333334,106.50989333333334
cyclical,serverless_predictive_lastgap,6,75,13,600.5567269999119,728.5368555999412,365.31598666666656,106.26039999999999
cyclical,serverless_predictive_lastgap,7,75,13,546.4215639999566,732.2451292997357,329.3412400000001,99.29405333333332
cyclical,serverless_predictive_lastgap,8,75,12,286.58944900007555,713.7686462999227,267.8493466666667,93.72526666666666
cyclical,serverless_predictive_lastgap,9,75,12,209.05571899993447,669.1403905001607,250.67022666666665,87.25837333333332
cyclical,serverless_predictive_lastgap,10,75,13,617.1223530000134,724.9767585999052,348.0430666666667,102.30765333333333
cyclical,serverless_predictive_lastgap,11,75,12,202.8512930000943,752.5574612999662,269.13264,89.21552000000001
cyclical,serverless_predictive_lastgap,12,75,14,648.0055310003081,739.5738920002714,435.05681333333337,116.26692
cyclical,serverless_predictive_lastgap,13,75,12,199.66685300005335,708.0182415002128,261.52531999999997,87.59558666666666
cyclical,serverless_predictive_lastgap,14,75,13,597.2550710002906,699.9188968000453,337.6587466666666,98.93736
cyclical,serverless_predictive_movavg,0,75,12,201.12087500001508,695.3773550999813,255.41899999999998,88.063
cyclical,serverless_predictive_movavg,1,75,13,616.3395990001845,792.2537265998471,429.52204,111.29052000000001
cyclical,serverless_predictive_movavg,2,75,12,206.0047219997614,704.5200018999367,256.89027999999996,90.60152000000001
cyclical,serverless_predictive_movavg,3,75,12,602.9592170002616,718.3354731997497,406.52046666666666,96.71168
cyclical,serverless_predictive_movavg,4,75,12,368.9899860000878,689.4809007000731,287.90916,90.34477333333334
cyclical,serverless_predictive_movavg,5,75,12,495.2282029998969,819.0155568999216,349.3048133333333,95.97055999999999
cyclical,serverless_predictive_movavg,6,75,12,656.9832329996643,718.7675614001819,532.1083066666666,102.56148000000002
cyclical,serverless_predictive_movavg,7,75,13,685.5122299998584,765.4998816999523,370.98356000000007,108.89398666666665
cyclical,serverless_predictive_movavg,8,75,12,222.02655099999905,695.9002658002191,253.8283866666667,87.50488
cyclical,serverless_predictive_movavg,9,75,12,207.5539860002209,753.1765103999533,277.12390666666664,91.47413333333334
cyclical,serverless_predictive_movavg,10,75,13,555.9081790001983,678.4589933000461,318.68801333333334,96.79918666666667
cyclical,serverless_predictive_movavg,11,75,12,207.82484899973497,758.04114940006,270.40717333333333,90.30089333333333
cyclical,serverless_predictive_movavg,12,75,14,646.3357379998342,731.9017124999391,428.65927999999997,114.51504000000001
cyclical,serverless_predictive_movavg,13,75,12,205.81607100029944,721.1448292000114,266.8484266666666,88.46338666666666
cyclical,serverless_predictive_movavg,14,75,13,643.888502000209,738.8217085001997,357.40689333333336,105.92449333333334
cyclical,serverless_predictive_fixed,0,75,11,154.07953800013274,722.5261210000099,176.91754666666668,75.34309333333333
cyclical,serverless_predictive_fixed,1,75,11,153.53550300005736,711.2133449998055,175.3822933333333,74.74948
cyclical,serverless_predictive_fixed,2,75,11,133.28113800025676,636.5787802000341,149.5257733333333,71.67750666666667
cyclical,serverless_predictive_fixed,3,75,11,164.3228210000416,756.0226320000311,181.71228000000002,76.63305333333332
cyclical,serverless_predictive_fixed,4,75,11,149.5738169996912,711.3048285002151,173.85214666666667,75.94622666666667
cyclical,serverless_predictive_fixed,5,75,11,156.0221320000892,685.805955700016,167.72985333333332,72.66449333333333
cyclical,serverless_predictive_fixed,6,75,11,154.30788499998016,730.2312264000648,177.37165333333334,74.90861333333334
cyclical,serverless_predictive_fixed,7,75,11,151.4012319998983,674.0966398998353,167.28197333333333,74.75469333333334
cyclical,serverless_predictive_fixed,8,75,11,153.03160400026172,722.848506300079,175.70261333333335,79.45798666666667
cyclical,serverless_predictive_fixed,9,75,11,151.2575689998812,624.5665666996956,155.50504000000004,71.36014666666667
cyclical,serverless_predictive_fixed,10,75,11,150.9912650003571,757.6360355000816,182.2322933333333,76.8824
cyclical,serverless_predictive_fixed,11,75,11,156.0305579996566,663.5224033000668,165.10818666666665,75.29408000000001
cyclical,serverless_predictive_fixed,12,75,11,154.2423850000887,731.1669076999806,178.22968,75.72468
cyclical,serverless_predictive_fixed,13,75,11,153.12733999962802,673.235708700031,164.96706666666668,75.89542666666667
cyclical,serverless_predictive_fixed,14,75,11,154.0321619995666,671.7207964998124,168.81430666666668,72.84092
