t,label,cpu_pct_sum,rss_mb_sum,n_procs,startup_lead_s
1788975479.6637375,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975479.8657951,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975480.0675867,serverless_predictive_ewma:cyclical:0,5.0,165.02,4,0.1
1788975480.2694125,serverless_predictive_ewma:cyclical:0,5.0,165.02,4,0.1
1788975480.4713018,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975480.6733577,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975480.8754473,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975481.0774875,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975481.279643,serverless_predictive_ewma:cyclical:0,0.0,122.41,4,0.1
1788975481.4818718,serverless_predictive_ewma:cyclical:0,0.0,79.82,3,0.1
1788975481.6839232,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975481.8858185,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975482.087678,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975482.2893946,serverless_predictive_ewma:cyclical:0,5.0,37.27,1,0.1
1788975482.49114,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975482.6935062,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975482.8954473,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975483.0973186,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975483.299018,serverless_predictive_ewma:cyclical:0,0.0,37.27,1,0.1
1788975483.5027485,serverless_predictive_ewma:cyclical:0,9.8,98.12,4,0.1
1788975483.7070165,serverless_predictive_ewma:cyclical:0,190.9,137.96,4,0.1
1788975483.9090123,serverless_predictive_ewma:cyclical:0,203.0,152.52,4,0.1
1788975484.114441,serverless_predictive_ewma:cyclical:0,112.0,164.99,4,0.1
1788975484.3167353,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975484.518854,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975484.7208836,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975484.922904,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975485.1249194,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975485.3269317,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975485.5289614,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975485.7336922,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975485.9361818,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975486.1383872,serverless_predictive_ewma:cyclical:0,4.9,164.99,4,0.1
1788975486.3404644,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975486.5426533,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975486.7446415,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975486.9467554,serverless_predictive_ewma:cyclical:0,4.9,164.99,4,0.1
1788975487.1487427,serverless_predictive_ewma:cyclical:0,5.0,164.99,4,0.1
1788975487.3508503,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975487.55282,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975487.7549746,serverless_predictive_ewma:cyclical:0,4.9,164.99,4,0.1
1788975487.9572108,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975488.1594636,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975488.3620846,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975488.5641103,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975488.7661953,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975488.9683015,serverless_predictive_ewma:cyclical:0,4.9,164.99,4,0.1
1788975489.1703384,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975489.3724368,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975489.5745373,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975489.7765918,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975489.9795516,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975490.1816742,serverless_predictive_ewma:cyclical:0,0.0,164.99,4,0.1
1788975490.3837051,serverless_predictive_ewma:cyclical:0,5.0,122.42,3,0.1
1788975490.5857003,serverless_predictive_ewma:cyclical:0,0.0,79.89,2,0.1
1788975490.7875574,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975490.9894373,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975491.1917913,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975491.3936725,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975491.595343,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975491.797338,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975491.9992409,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975492.2009957,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975492.4029653,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975492.6046185,serverless_predictive_ewma:cyclical:0,0.0,37.32,1,0.1
1788975492.8065946,serverless_predictive_ewma:cyclical:0,5.0,57.49,2,0.1
1788975493.0085638,serverless_predictive_ewma:cyclical:0,99.0,73.96,2,0.1
1788975493.210397,serverless_predictive_ewma:cyclical:0,59.5,79.86,2,0.1
1788975493.4130292,serverless_predictive_ewma:cyclical:0,0.0,79.86,2,0.1
1788975493.6150851,serverless_predictive_ewma:cyclical:0,0.0,79.86,2,0.1
1788975493.8174498,serverless_predictive_ewma:cyclical:0,0.0,79.86,2,0.1
1788975494.0201283,serverless_predictive_ewma:cyclical:0,19.8,140.4,4,0.1
1788975494.2224584,serverless_predictive_ewma:cyclical:0,192.7,157.62,4,0.1
1788975495.1013198,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975495.3040402,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975495.5060225,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975495.7080271,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975495.910637,serverless_predictive_ewma:cyclical:1,4.9,36.59,1,0.1
1788975496.1124544,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975496.3145783,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975496.516356,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975496.7182329,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975496.9201205,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975497.1220832,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975497.323824,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975497.5257046,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975497.72751,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975497.9294996,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975498.131665,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975498.3334804,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975498.5353196,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975498.7370613,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975498.9387784,serverless_predictive_ewma:cyclical:1,0.0,36.59,1,0.1
1788975499.1405015,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975499.3422391,serverless_predictive_ewma:cyclical:1,5.0,36.6,1,0.1
1788975499.5439126,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975499.7489853,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975499.9507813,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975500.1526256,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975500.3544922,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975500.5562253,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975500.7581272,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975500.9599514,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975501.161767,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975501.3637106,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975501.5655105,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975501.7672899,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975501.9692566,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975502.1709132,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975502.3726122,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975502.5744522,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975502.7769575,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975502.9787428,serverless_predictive_ewma:cyclical:1,5.0,36.6,1,0.1
1788975503.180567,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975503.3823645,serverless_predictive_ewma:cyclical:1,0.0,36.6,1,0.1
1788975503.5849764,serverless_predictive_ewma:cyclical:1,9.9,112.18,4,0.1
1788975503.7867067,serverless_predictive_ewma:cyclical:1,193.4,142.45,4,0.1
1788975503.9885416,serverless_predictive_ewma:cyclical:1,183.3,157.64,4,0.1
1788975504.1911762,serverless_predictive_ewma:cyclical:1,83.9,164.68,4,0.1
1788975504.3933315,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975504.5954208,serverless_predictive_ewma:cyclical:1,4.9,164.68,4,0.1
1788975504.7974608,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975504.9994805,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975505.2015412,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975505.4037278,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
